activity,spot_type,spot_date
First National Lockdown,2020-03-23,2020-03-23
Outdoor recreation permitted,2020-05-13,2020-05-13
Rule of six,2020-06-01,2020-06-01
Hospitality reopen. Gatherings up to thirty people,2020-07-04,2020-07-04
The new rule of six both indoor and outdoor,2020-09-14,2020-09-14
Hospitality had to shut between 10pm and 6am,2020-09-25,2020-09-25
First three tier system,2020-10-14,2020-10-14
Second National Lockdown. Meet one person outside,2020-11-05,2020-11-05
Tier system was reintroduced,2020-12-02,2020-12-02
Tier 4 introduced,2020-12-19,2020-12-19
Tier 4 for 75% of the country,2020-12-30,2020-12-30
Third National Lockdown,2021-01-06,2021-01-06
