phase,event,start_date,end_date,eventf
Phase zero,Before First National Lockdown,2020-01-01,2020-03-23,Before First National Lockdown
Phase one,First National Lockdown,2020-03-23,2020-05-13,First National Lockdown
Phase one,Outdoor recreation permitted,2020-05-13,2020-06-01,Outdoor recreation permitted
Phase one,Rule of six,2020-06-01,2020-07-04,Rule of six
Phase two,Hospitality reopens,2020-07-04,2020-09-14,Hospitality reopen. Gatherings up to thirty people
Phase two,Eat out to help out,2020-08-03,2020-08-31,Eat out to help out
Phase three,New rule of six indoor and outdoor,2020-09-14,2020-09-25,The new rule of six both indoor and outdoor
Phase three,Hospitality closed between 10pm and 6am,2020-09-25,2020-10-14,Hospitality had to shut between 10pm and 6am
Phase three,First three tier system,2020-10-14,2020-11-05,First three tier system
Phase four,Second National Lockdown,2020-11-05,2020-12-02,Second National Lockdown. Meet one person outside
Phase five,Tier system reintroduced,2020-12-02,2020-12-19,Tier system was reintroduced
Phase five,Tier 4 introduced,2020-12-19,2021-01-06,Tier 4 introduced
Phase six,Third National Lockdown,2021-01-06,2021-03-08,Third National Lockdown
Phase six,Schools and care homes reopen,2021-03-08,2021-03-29,Schools and care homes reopen
Phase six,Rule of six outdoor,2021-03-29,2021-04-12,Rule of six outdoor
Phase six,Shops reopen,2021-04-12,2021-05-17,Shops reopen
Phase six,Rule of six indoor,2021-05-17,2021-06-21,Rule of six indoor
Phase seven,Back to normal,2021-06-21,2022-01-01,Back to normal
